Name,Address,Type,_Address,lat,lng,bbl
1717 Troutman,"1717 Troutman Street, #300,Ridgewood, NY 11385",Not applicable," 1717 Troutman Street , 11385",40.709882,-73.91986,4034120047
The 1896 Studio & Stages,"592 Johnson Avenue,Brooklyn, NY 11237",Level 1," 592 Johnson Avenue , 11237",40.70862,-73.924649,3029950016
19th Avenue Stage,"19-02 Steinway Street,Astoria, NY 11105",Level 2," 19-02 Steinway Street , 11105",40.778347,-73.900142,4008110032
718 Studios,"130 Thames Street,Brooklyn, NY 11247",Not applicable," 130 Thames Street , 11247",40.705392,-73.927576,3030150006
94 Jewel St.,"94 Jewel Street, Ground level,Brooklyn, NY 11222",Not applicable," 94 Jewel Street , 11222",40.728509,-73.947067,3026260001
Acumen Brooklyn,"630 Flushing Avenue,Brooklyn, NY 11206",Level 1," 630 Flushing Avenue , 11206",40.699762,-73.948172,3017200001
All Mobile Video/Chelsea Television Studios,"221 West 26th Street,(main office),New York, NY 10001,allmobilevideo.com/stage",Level 2," 221 West 26th Street , 10001",40.74664,-73.995185,1007760021
Ambitious Media,"123 Bowery, 4th Floor,New York, NY 10002,ambitiousfilm.com",Not applicable," 123 Bowery , 10002",40.718105,-73.994631,1003040015
American Movie Company,"81 Walker Street,New York, NY 10013,americanmovieco.com",Not applicable," 81 Walker Street , 10013",40.718062,-74.001752,1001957501
Asset TV Inc.,"570 Lexington Avenue, 45th Floor, New York, NY 10022,nycitystudio.com",Not applicable," 570 Lexington Avenue , 10022",40.757082,-73.972452,1013050060
"Atlantic Television, Inc.","524 Broadway,,Suite 402,New York, NY 10012,atlantictv.com",Not applicable," 524 Broadway , 10012",40.722685,-73.998433,1004830017
Attic Studios,"11-05 44th Road,Long Island City, NY 11101,atticstudios.net",Not applicable," 11-05 44th Road , 11101",40.749452,-73.949046,4004460026
The Aula NYC,"268 Mulberry Street,New York, NY 10012,aulanyc.com",Not applicable," 268 Mulberry Street , 10012",40.723954,-73.995222,1005090001
Automatic Studios,"52 Bridge Street,Brooklyn, NY 11201,automaticstudiosnyc.com",Not applicable," 52 Bridge Street , 11201",40.70323,-73.98494,3000317502
Baker Photo Studio,"42-24 Ninth Street,Long Island City, NY 11101,bakerphotostudio.com",Not applicable," 42-24 Ninth Street , 11101",40.753193,-73.949913,4004620001
BC Studio,"152 West 25th Street, New York, NY 10001,greenscreen,productionnyc.com",Not applicable,"152 West 25th Street, 10001",40.744861,-73.994054,1008000068
Be Electric Studios,"1298-1304 Willoughby Ave, Brooklyn, NY 11237",Level 2," 1298-1304 Willoughby Ave , 11237",40.705123,-73.921585,3032100027
Be Electric Studios,"352 Troutman Street, Brooklyn, NY 11237",Level 2," 352 Troutman Street , 11237",40.705259,-73.923817,3031880015
Be Electric Studios,"102-120 Ingraham Street, Brooklyn, NY 11237",Level 2," 102-120 Ingraham Street , 11237",40.70731,-73.929108,3029980028
Be Electric Studios,"1028 Grand Street, Brooklyn, NY 11237",Level 2," 1028 Grand Street , 11237",40.713169,-73.934028,3029420025
